import time: self [us] | cumulative | imported package
import time:     72219 |     176681 |                       django.db.models.query_utils
import time:    107908 |    2726020 |                     django.db.models.fields
import time:     51614 |      51614 |                     django.db.models.enums
import time:     63696 |    2841329 |                   django.db.models.expressions
import time:     70052 |      70052 |                     django.db.models.functions.comparison
import time:     63673 |      63673 |                             django.db.backends
import time:    105679 |     169351 |                           django.db.backends.base
import time:     31569 |      31569 |                               sqlparse.tokens
import time:     38699 |      38699 |                               sqlparse.utils
import time:     55095 |     125362 |                             sqlparse.sql
import time:     31424 |      31424 |                               sqlparse.exceptions
import time:     36476 |      67900 |                             sqlparse.cli
import time:     64667 |      64667 |                               sqlparse.engine.grouping
import time:     70943 |      70943 |                                   sqlparse.keywords
import time:     46450 |     117392 |                                 sqlparse.lexer
import time:     69832 |      69832 |                                 sqlparse.engine.statement_splitter
import time:    104254 |     104254 |                                   sqlparse.filters.others
import time:    167068 |     167068 |                                   sqlparse.filters.output
import time:    259302 |     259302 |                                   sqlparse.filters.tokens
import time:    217977 |     217977 |                                   sqlparse.filters.reindent
import time:    128918 |     128918 |                                   sqlparse.filters.right_margin
import time:     90074 |      90074 |                                   sqlparse.filters.aligned_indent
import time:    238321 |    1205911 |                                 sqlparse.filters
import time:     53341 |    1446475 |                               sqlparse.engine.filter_stack
import time:     60511 |    1571652 |                             sqlparse.engine
import time:     94495 |      94495 |                             sqlparse.formatter
import time:     61585 |    1920992 |                           sqlparse
import time:     85181 |    2175524 |                         django.db.backends.base.operations
import time:     61746 |    2237269 |                       django.db.models.lookups
import time:     60938 |    2298207 |                     django.db.models.functions.datetime
import time:     71584 |      71584 |                         django.db.models.fields.mixins
import time:    387623 |     459207 |                       django.db.models.fields.json
import time:     89090 |     548297 |                     django.db.models.functions.json
import time:     81157 |      81157 |                       django.db.models.functions.mixins
import time:     75719 |     156875 |                     django.db.models.functions.math
import time:     82978 |      82978 |                     django.db.models.functions.text
import time:     98290 |      98290 |                     django.db.models.functions.window
import time:     96453 |    3351149 |                   django.db.models.functions
import time:     63754 |    6256231 |                 django.db.models.aggregates
import time:     50228 |      50228 |                     django.db.backends.utils
import time:    108678 |     108678 |                         django.db.models.sql.constants
import time:    112624 |     112624 |                         django.db.models.sql.datastructures
import time:    106371 |     106371 |                         django.db.models.sql.where
import time:    139539 |     467211 |                       django.db.models.sql.query
import time:     59093 |      59093 |                       django.db.models.sql.subqueries
import time:     88729 |     615032 |                     django.db.models.sql
import time:     61276 |     726535 |                   django.db.models.indexes
import time:     56623 |     783158 |                 django.db.models.constraints
import time:     37320 |      37320 |                 django.db.models.deletion
import time:     69554 |      69554 |                   django.db.models.fields.tuple_lookups
import time:     60483 |     130036 |                 django.db.models.fields.composite
import time:     28874 |      28874 |                   django.core.files.images
import time:    103120 |     103120 |                     django.core.files.storage.base
import time:     72789 |      72789 |                       django.core.files.storage.mixins
import time:     78086 |     150875 |                     django.core.files.storage.filesystem
import time:     77278 |      77278 |                     django.core.files.storage.handler
import time:     84639 |      84639 |                     django.core.files.storage.memory
import time:     81789 |     497699 |                   django.core.files.storage
import time:     75973 |     602544 |                 django.db.models.fields.files
import time:     65719 |      65719 |                 django.db.models.fields.generated
import time:     44509 |      44509 |                 django.db.models.fields.proxy
import time:     59733 |      59733 |                   django.db.models.query
import time:     58828 |     118561 |                 django.db.models.manager
import time:     58529 |      58529 |                     django.db.models.fields.related_descriptors
import time:     48477 |      48477 |                     django.db.models.fields.related_lookups
import time:     50703 |      50703 |                     django.db.models.fields.reverse_related
import time:     72194 |     229901 |                   django.db.models.fields.related
import time:     36334 |      36334 |                   django.db.models.options
